Molecule ChEMBL ID,Standard Value,Calculated pChEMBL,index,Smiles
CHEMBL2440562,40300.0,4.39,1233,Cc1ccc(Cn2cc(CSC(=S)N3CCN(c4ccccc4)CC3)nn2)cc1
CHEMBL2440565,27600.0,4.56,594,Cc1ccc(Cn2cc(CSC(=S)N3CCN(c4ncccn4)CC3)nn2)cc1
CHEMBL2440566,39800.0,4.4,1765,Fc1ccccc1Cn1cc(CSC(=S)N2CCN(c3ncccn3)CC2)nn1
CHEMBL2440567,43900.0,4.36,1200,Fc1ccc(Cn2cc(CSC(=S)N3CCN(c4ncccn4)CC3)nn2)cc1
CHEMBL2440568,35700.0,4.45,1187,Cc1ccc(Cn2cc(CSC(=S)N3CCN(S(C)(=O)=O)CC3)nn2)cc1
CHEMBL2440569,45700.0,4.34,1764,CS(=O)(=O)N1CCN(C(=S)SCc2cn(Cc3ccccc3F)nn2)CC1
CHEMBL2440570,55100.0,4.26,405,CS(=O)(=O)N1CCN(C(=S)SCc2cn(Cc3ccc(F)cc3)nn2)CC1
CHEMBL2440571,87400.0,4.06,188,FC(F)(F)c1ccc(Cn2cc(CSC(=S)N3CCNCC3)nn2)cc1
CHEMBL2440573,17000.0,4.77,1248,CCOC(=O)N1CCN(C(=S)SCc2cn(Cc3ccc(C)cc3)nn2)CC1
CHEMBL2440574,15000.0,4.82,54,Cc1ccc(Cn2cc(CSC(=S)N3CCN(C(=O)OC(C)C)CC3)nn2)cc1
CHEMBL2440575,30200.0,4.52,2251,CC(=O)N1CCN(C(=S)SCc2cn(Cc3ccccc3F)nn2)CC1
CHEMBL2440576,47100.0,4.33,183,CC(=O)N1CCN(C(=S)SCc2cn(Cc3ccc(F)cc3)nn2)CC1
CHEMBL2440577,25300.0,4.6,2067,CC(=O)N1CCN(C(=S)SCc2cn(Cc3ccc(C)cc3)nn2)CC1
CHEMBL250450,975.0,6.01,345,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
CHEMBL255520,3700.0,5.43,2357,N[C@@H]1C[C@H]1c1ccc(Br)cc1
CHEMBL257990,10750.0,4.97,678,N[C@H]1C[C@@H]1c1ccccc1
CHEMBL3104249,128.0,6.89,259,C/C(=N\NC(=O)c1ccccc1)c1cc(Cl)ccc1O
CHEMBL3104250,25.98222222222222,7.59,508,C/C(=N\NC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1)c1cc(Cl)ccc1O
CHEMBL3104252,14.0,7.85,28,C/C(=N/NC(=O)c1cccc(S(=O)(=O)N(C)C)c1)c1cc(Cl)ccc1O
CHEMBL3104261,20.0,7.7,475,N[C@@H]1C[C@H]1c1ccc(-c2cccc(O)c2)cc1
CHEMBL3104337,916.6666666666666,6.04,34,Cl.NC1CC1c1ccc(NC(=O)C(Cc2ccccc2)NC(=O)OCc2ccccc2)cc1
CHEMBL3104338,9700.0,5.01,512,NC1CC1c1ccc(OCCCC(=O)NCc2ccccc2)cc1
CHEMBL3104339,1900.0,5.72,2270,NC1CC1c1ccc(OCCC(NC(=O)c2ccc(O)cc2)C(=O)Nc2ccccc2)cc1
CHEMBL3104341,18000.0,4.74,371,C1=Nc2ccccc2C1CN[C@@H]1C[C@H]1c1ccccc1
CHEMBL3104342,25.0,7.6,442,COc1cccc(-c2ccc([C@@H]3C[C@H]3NCC(=O)N3CCN(C)CC3)cc2)c1
CHEMBL3104343,12000.0,4.92,1104,N[C@H]1C[C@@H]1c1ccc(Oc2ccccc2)cc1
CHEMBL3104344,250.0,6.6,2175,CCNCCCNC/C=C\CNCCCNCC.Cl
CHEMBL3104345,5200.0,5.28,1098,COC(=O)c1cc(CN2CCN(C(=N)N)CC2)cc(C(=O)N2CCN(C(=O)c3ccc(C=N)cc3)CC2)c1
CHEMBL3104346,275.0,6.56,1859,O=C(N/N=C/c1cc(Cl)ccc1O)c1ccc(O)cc1
CHEMBL3104347,291.0,6.54,250,C/C(=N\NC(=O)c1ccc(O)cc1)c1ccccc1O
CHEMBL3104348,196.0,6.71,702,O=C(N/N=C/c1ccccc1O)c1ccc(Br)cc1
CHEMBL3104349,333.0,6.48,329,O=C(N/N=C/c1ccccc1O)c1cccc(Cl)c1
CHEMBL3104350,19.0,7.72,438,C/C(=N\NC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1)c1ccccc1O
